Employee_ID_No,First_Name,Last_Name,Age,Biological_Sex,Prior_Experience,Job_Rank,Efficiency_Factor_Obs, Hourly_Wage ,Hours_Worked,Pay_Amount
7185,Hakeem,Christian,35,Male,1.43,Entry,4.7,24.14,42.25,1019.915
7205,Jorgie,Haworth,34,Female,1.3,Associate,0.1,18.36,21.76,399.5136
7294,Polly,Halliday,31,Female,1.25,Entry,3.9,19.85,23.79,472.2315
7297,Pete,Waller,24,Male,0.29,Entry,0.3,20.11,8.56,172.1416
7302,Kerri,Valenzuela,29,Female,0.47,Entry,3.4,21.78,27.94,608.5332
7313,Lewis,Espinosa,34,Male,1.61,Ast. Manager,3,36.78,23.68,870.9504
7458,Dorian,Boyd,38,Male,2.99,Ast. Manager,4.6,27.2,53.44,1453.568
7591,Sami,Chapman,31,Female,1.12,Ast. Manager,4.4,30.17,40.04,1208.0068
7602,Imaani,Yoder,28,Female,1.17,Entry,0.1,20.13,18.54,373.2102
7613,Mohamed,Hardin,23,Male,0.42,Entry,0.5,19.18,9.74,186.8132
7648,Trinity,Stanley,30,Female,0.62,Associate,2.7,19.05,24.97,475.6785
7685,Ayda,Leon,22,Female,1.51,Associate,1.5,16.36,21.41,350.2676
7816,Aleksandra,Walsh,26,Female,1.05,Associate,1.9,29.85,38.1,1137.285
7968,Riyad,Morris,32,Male,2.07,Associate,4.9,31.16,40.54,1263.2264
7976,Chasity,Russell,31,Female,1.79,Entry,1.8,23.79,30.56,727.0224
7991,Ilyas,Kumar,28,Male,2.32,Entry,0.7,26.66,30,799.8
8003,Leila,Raymond,30,Female,2.23,Entry,2.5,22.13,35.87,793.8031
8414,Tatiana,Conley,19,Female,0.94,Entry,2.8,24.2,8.06,195.052
8547,Tiffany,Wood,25,Female,0.87,Entry,1.3,35.52,25.86,918.5472
8843,Michale,Duncan,29,Female,1.25,Entry,2.9,31.57,29.74,938.8918
8988,Jamal,Dickens,33,Male,1.16,Ast. Manager,5.1,29.78,43.71,1301.6838
9013,Curtis,Kane,24,Male,0.87,Entry,3.4,21.1,24.13,509.143
9026,Hammad,Kendall,37,Male,1.26,Ast. Manager,5.9,32.14,41.22,1324.8108
9378,Coby,Villalobos,19,Male,0.51,Associate,0.7,22.02,12.5,275.25
9399,Lana,Salazar,34,Female,1.3,Entry,1.4,26.11,37.85,988.2635
9451,Rhonda,McKenna,21,Female,0.53,Ast. Manager,4.9,33.18,18.79,623.4522
9510,Kady,Rosario,28,Female,0.5,Associate,3.4,27.8,33.31,926.018
9685,Arham,Hail,37,Male,2.11,Entry,1.9,23.15,22.66,524.579
9810,Hunter,Fellows,32,Male,1.36,Associate,4,31.45,28.79,905.4455
9874,Tony,White,22,Male,1.67,Entry,4.3,19.57,14.73,288.2661
